run_id,phase,created_at,purpose,status,model_name,prompt_tokens,cache_read_tokens,cache_write_tokens,cache_miss_tokens,duration_ms
baseline_1,优化前,2026-09-03 00:01:41.433683,wiki_candidate_slug,success,qwen3.7-plus,17776,0,0,17776,26621
baseline_1,优化前,2026-09-03 00:01:53.854727,wiki_chunk_citation,success,qwen3.7-plus,8586,512,0,8074,12402
baseline_1,优化前,2026-09-03 00:01:55.630209,wiki_chunk_citation,success,qwen3.7-plus,8033,512,0,7521,14178
baseline_1,优化前,2026-09-03 00:01:55.69106,wiki_chunk_citation,success,qwen3.7-plus,7504,512,0,6992,14239
baseline_1,优化前,2026-09-03 00:01:56.669413,wiki_chunk_citation,success,qwen3.7-plus,7663,0,0,7663,15217
baseline_1,优化前,2026-09-03 00:02:06.493641,wiki_chunk_citation,success,qwen3.7-plus,8100,1152,0,6948,10795
baseline_1,优化前,2026-09-03 00:02:06.70817,wiki_chunk_citation,success,qwen3.7-plus,7398,1152,0,6246,12840
baseline_1,优化前,2026-09-03 00:02:07.377013,wiki_chunk_citation,success,qwen3.7-plus,7582,1152,0,6430,11734
baseline_1,优化前,2026-09-03 00:02:08.84692,wiki_chunk_citation,success,qwen3.7-plus,7818,1152,0,6666,12164
baseline_1,优化前,2026-09-03 00:02:09.327602,wiki_summary,success,qwen3.7-plus,17167,0,0,17167,27877
baseline_1,优化前,2026-09-03 00:02:14.437794,wiki_chunk_citation,success,qwen3.7-plus,7150,1152,0,5998,7958
baseline_1,优化前,2026-09-03 00:02:24.082631,wiki_taxonomy_plan,success,qwen3.7-plus,1247,0,0,1247,9630
baseline_1,优化前,2026-09-03 00:02:33.757924,wiki_page_modify,success,qwen3.7-plus,4411,0,0,4411,9533
baseline_1,优化前,2026-09-03 00:02:42.447915,wiki_page_modify,success,qwen3.7-plus,5258,1152,0,4106,8678
baseline_1,优化前,2026-09-03 00:02:46.447723,wiki_page_modify,success,qwen3.7-plus,4179,1152,0,3027,12713
baseline_1,优化前,2026-09-03 00:02:46.698708,wiki_page_modify,success,qwen3.7-plus,7615,0,0,7615,12936
baseline_1,优化前,2026-09-03 00:02:47.249062,wiki_page_modify,success,qwen3.7-plus,5344,1152,0,4192,13515
baseline_1,优化前,2026-09-03 00:02:49.628912,wiki_page_modify,success,qwen3.7-plus,6320,0,0,6320,15895
baseline_1,优化前,2026-09-03 00:02:51.851927,wiki_page_modify,success,qwen3.7-plus,7654,512,0,7142,18117
baseline_1,优化前,2026-09-03 00:02:53.994594,wiki_page_modify,success,qwen3.7-plus,10879,0,0,10879,20260
baseline_1,优化前,2026-09-03 00:02:54.105801,wiki_page_modify,success,qwen3.7-plus,4492,1664,0,2828,6821
baseline_1,优化前,2026-09-03 00:02:55.037517,wiki_page_modify,success,qwen3.7-plus,10408,1152,0,9256,21303
baseline_1,优化前,2026-09-03 00:02:58.808829,wiki_page_modify,success,qwen3.7-plus,11612,1152,0,10460,25074
baseline_1,优化前,2026-09-03 00:03:00.567706,wiki_page_modify,success,qwen3.7-plus,10506,1664,0,8842,18126
baseline_1,优化前,2026-09-03 00:03:02.012249,wiki_page_modify,success,qwen3.7-plus,6014,1664,0,4350,12350
baseline_1,优化前,2026-09-03 00:03:03.040936,wiki_page_modify,success,qwen3.7-plus,10436,1664,0,8772,16562
baseline_1,优化前,2026-09-03 00:03:04.244909,wiki_page_modify,success,qwen3.7-plus,10667,512,0,10155,40058
baseline_1,优化前,2026-09-03 00:03:21.261142,wiki_page_modify,success,qwen3.7-plus,7270,1152,0,6118,17042
baseline_1,优化前,2026-09-03 00:03:46.336693,wiki_index_intro,success,qwen3.7-plus,297,0,0,297,1659
baseline_2,优化前,2026-09-03 00:33:25.495934,wiki_candidate_slug,success,qwen3.7-plus,17879,0,0,17879,26681
baseline_2,优化前,2026-09-03 00:33:38.148264,wiki_chunk_citation,success,qwen3.7-plus,8600,0,0,8600,12605
baseline_2,优化前,2026-09-03 00:33:40.369609,wiki_chunk_citation,success,qwen3.7-plus,7677,0,0,7677,14828
baseline_2,优化前,2026-09-03 00:33:41.884807,wiki_chunk_citation,success,qwen3.7-plus,7518,0,0,7518,16381
baseline_2,优化前,2026-09-03 00:33:42.472887,wiki_chunk_citation,success,qwen3.7-plus,8047,0,0,8047,16968
baseline_2,优化前,2026-09-03 00:33:48.194388,wiki_chunk_citation,success,qwen3.7-plus,7596,1152,0,6444,7856
baseline_2,优化前,2026-09-03 00:33:48.904493,wiki_chunk_citation,success,qwen3.7-plus,7412,1152,0,6260,10786
baseline_2,优化前,2026-09-03 00:33:52.715236,wiki_summary,success,qwen3.7-plus,17165,0,0,17165,27212
baseline_2,优化前,2026-09-03 00:33:53.548021,wiki_chunk_citation,success,qwen3.7-plus,7832,1152,0,6680,11068
baseline_2,优化前,2026-09-03 00:33:53.551319,wiki_chunk_citation,success,qwen3.7-plus,8114,1152,0,6962,11658
